,Abilities,Attack,Base EXP,Base Happiness,Catch rate,Defense,EV yield,Egg Groups,Egg cycles,Gender,Growth Rate,HP,Height,Japanese,Local №,National №,Sp. Atk,Sp. Def,Species,Speed,Type,Weight,desc,name
183,Huge PowerThick FatSap Sipper (hidden ability),50,153,70 (normal),"75 (9.8% with PokBall, full HP)",80, 3 HP," Fairy, Water 1 ","11 (minimum 2,805 steps)","50% male, 50% female",Fast,100,2′7″ (0.79m),Mariruri,"131 (Gold,Silver,Crystal)056 (Ruby,Sapphire,Emerald)126 (Diamond,Pearl)126 (Platinum)133 (HeartGold,SoulSilver)032 (Black 2,White 2)043 (X,Y)057 (Omega Ruby,Alpha Sapphire)",184,60,80,Aqua Rabbit Pokmon,50, Water Fairy ,62.8 lbs (28.5 kg)," Azumarill is a Water/Fairy type Pokmon introduced in Generation 2. It is known as the Aqua Rabbit Pokmon. Prior to Generation 6, Azumarill was a pure Water type. ",Azumarill
184,Rock HeadSturdyRattled (hidden ability),100,135,70 (normal),"65 (8.5% with PokBall, full HP)",115, 2 Defense, Mineral ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,70,3′11″ (1.19m),Usokki,"106 (Gold,Silver,Crystal)093 (Diamond,Pearl)093 (Platinum)107 (HeartGold,SoulSilver)130 (X,Y)",185,30,65,Imitation Pokmon,30, Rock ,83.8 lbs (38.0 kg), Sudowoodo is a Rock type Pokmon introduced in Generation 2. It is known as the Imitation Pokmon. ,Sudowoodo
185,DampWater AbsorbDrizzle (hidden ability),75,185,70 (normal),"45 (5.9% with PokBall, full HP)",75, 3 Special Defense, Water 1 ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,90,3′7″ (1.09m),Nyorotono,"075 (Gold,Silver,Crystal)075 (HeartGold,SoulSilver)036 (X,Y)",186,90,100,Frog Pokmon,70, Water ,74.7 lbs (33.9 kg), Politoed is a Water type Pokmon introduced in Generation 2. It is known as the Frog Pokmon. ,Politoed
186,ChlorophyllLeaf GuardInfiltrator (hidden ability),35,74,70 (normal),"255 (33.3% with PokBall, full HP)",40, 1 Special Defense," Fairy, Grass ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,35,1′4″ (0.41m),Hanekko,"067 (Gold,Silver,Crystal)067 (HeartGold,SoulSilver)135 (X,Y)",187,35,55,Cottonweed Pokmon,50, Grass Flying ,1.1 lbs (0.5 kg), Hoppip is a Grass/Flying type Pokmon introduced in Generation 2. It is known as the Cottonweed Pokmon. ,Hoppip
187,ChlorophyllLeaf GuardInfiltrator (hidden ability),45,136,70 (normal),"120 (15.7% with PokBall, full HP)",50, 2 Speed," Fairy, Grass ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,55,2′0″ (0.61m),Popokko,"068 (Gold,Silver,Crystal)068 (HeartGold,SoulSilver)136 (X,Y)",188,45,65,Cottonweed Pokmon,80, Grass Flying ,2.2 lbs (1.0 kg), Skiploom is a Grass/Flying type Pokmon introduced in Generation 2. It is known as the Cottonweed Pokmon. ,Skiploom
188,ChlorophyllLeaf GuardInfiltrator (hidden ability),55,176,70 (normal),"45 (5.9% with PokBall, full HP)",70, 3 Speed," Fairy, Grass ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,75,2′7″ (0.79m),Watakko,"069 (Gold,Silver,Crystal)069 (HeartGold,SoulSilver)137 (X,Y)",189,55,95,Cottonweed Pokmon,110, Grass Flying ,6.6 lbs (3.0 kg), Jumpluff is a Grass/Flying type Pokmon introduced in Generation 2. It is known as the Cottonweed Pokmon. ,Jumpluff
189,PickupRun AwaySkill Link (hidden ability),70,94,70 (normal),"45 (5.9% with PokBall, full HP)",55, 1 Speed, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Fast,55,2′7″ (0.79m),Eipamu,"122 (Gold,Silver,Crystal)063 (Diamond,Pearl)063 (Platinum)123 (HeartGold,SoulSilver)",190,40,55,Long Tail Pokmon,85, Normal ,25.4 lbs (11.5 kg), Aipom is a Normal type Pokmon introduced in Generation 2. It is known as the Long Tail Pokmon. ,Aipom
190,ChlorophyllSolar PowerEarly Bird (hidden ability),30,52,70 (normal),"235 (30.7% with PokBall, full HP)",30, 1 Special Attack, Grass ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,30,1′0″ (0.30m),Himanattsu,"102 (Gold,Silver,Crystal)103 (HeartGold,SoulSilver)020 (Black 2,White 2)",191,30,30,Seed Pokmon,30, Grass ,4 lbs (1.8 kg), Sunkern is a Grass type Pokmon introduced in Generation 2. It is known as the Seed Pokmon. ,Sunkern
191,ChlorophyllSolar PowerEarly Bird (hidden ability),75,146,70 (normal),"120 (15.7% with PokBall, full HP)",55, 2 Special Attack, Grass ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,75,2′7″ (0.79m),Kimawari,"103 (Gold,Silver,Crystal)104 (HeartGold,SoulSilver)021 (Black 2,White 2)",192,105,85,Sun Pokmon,30, Grass ,18.7 lbs (8.5 kg), Sunflora is a Grass type Pokmon introduced in Generation 2. It is known as the Sun Pokmon. ,Sunflora
192,Compound EyesSpeed BoostFrisk (hidden ability),65,147,70 (normal),"75 (9.8% with PokBall, full HP)",45, 1 Speed, Bug ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,65,3′11″ (1.19m),Yanyanma,"101 (Gold,Silver,Crystal)183 (Platinum)101 (HeartGold,SoulSilver)286 (Black 2,White 2)087 (X,Y)",193,75,45,Clear Wing Pokmon,95, Bug Flying ,83.8 lbs (38.0 kg), Yanma is a Bug/Flying type Pokmon introduced in Generation 2. It is known as the Clear Wing Pokmon. ,Yanma
193,DampWater AbsorbUnaware (hidden ability),45,52,70 (normal),"255 (33.3% with PokBall, full HP)",45, 1 HP," Field, Water 1 ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,55,1′4″ (0.41m),Upa,"056 (Gold,Silver,Crystal)117 (Diamond,Pearl)117 (Platinum)056 (HeartGold,SoulSilver)017 (X,Y)",194,25,25,Water Fish Pokmon,15, Water Ground ,18.7 lbs (8.5 kg), Wooper is a Water/Ground type Pokmon introduced in Generation 2. It is known as the Water Fish Pokmon. ,Wooper
194,DampWater AbsorbUnaware (hidden ability),85,137,70 (normal),"90 (11.8% with PokBall, full HP)",85, 2 HP," Field, Water 1 ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,95,4′7″ (1.40m),Nuo,"057 (Gold,Silver,Crystal)118 (Diamond,Pearl)118 (Platinum)057 (HeartGold,SoulSilver)018 (X,Y)",195,65,65,Water Fish Pokmon,35, Water Ground ,165.3 lbs (75.0 kg), Quagsire is a Water/Ground type Pokmon introduced in Generation 2. It is known as the Water Fish Pokmon. ,Quagsire
195,SynchronizeMagic Bounce (hidden ability),65,197,70 (normal),"45 (5.9% with PokBall, full HP)",60, 2 Special Attack, Field ,"36 (minimum 9,180 steps)","87.5% male, 12.5% female",Medium Fast,65,2′11″ (0.89m),Efi,"184 (Gold,Silver,Crystal)167 (Platinum)188 (HeartGold,SoulSilver)095 (Black 2,White 2)081 (X,Y)",196,130,95,Sun Pokmon,110, Psychic ,58.4 lbs (26.5 kg), Espeon is a Psychic type Pokmon introduced in Generation 2. It is known as the Sun Pokmon. ,Espeon
196,SynchronizeInner Focus (hidden ability),65,197,35 (lower than normal),"45 (5.9% with PokBall, full HP)",110, 2 Special Defense, Field ,"36 (minimum 9,180 steps)","87.5% male, 12.5% female",Medium Fast,95,3′3″ (0.99m),Burakki,"185 (Gold,Silver,Crystal)168 (Platinum)189 (HeartGold,SoulSilver)096 (Black 2,White 2)082 (X,Y)",197,60,130,Moonlight Pokmon,65, Dark ,59.5 lbs (27.0 kg), Umbreon is a Dark type Pokmon introduced in Generation 2. It is known as the Moonlight Pokmon. ,Umbreon
197,InsomniaSuper LuckPrankster (hidden ability),85,107,35 (lower than normal),"30 (3.9% with PokBall, full HP)",42, 1 Speed, Flying ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,60,1′8″ (0.51m),Yamikarasu,"208 (Gold,Silver,Crystal)074 (Diamond,Pearl)074 (Platinum)213 (HeartGold,SoulSilver)051 (X,Y)",198,85,42,Darkness Pokmon,91, Dark Flying ,4.6 lbs (2.1 kg), Murkrow is a Dark/Flying type Pokmon introduced in Generation 2. It is known as the Darkness Pokmon. ,Murkrow
198,ObliviousOwn TempoRegenerator (hidden ability),75,164,70 (normal),"70 (9.1% with PokBall, full HP)",80, 3 Special Defense," Monster, Water 1 ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,95,6′7″ (2.01m),Yadokingu,"082 (Gold,Silver,Crystal)082 (HeartGold,SoulSilver)135 (X,Y)",199,100,110,Royal Pokmon,30, Water Psychic ,175.3 lbs (79.5 kg), Slowking is a Water/Psychic type Pokmon introduced in Generation 2. It is known as the Royal Pokmon. ,Slowking
199,Levitate,60,147,35 (lower than normal),"45 (5.9% with PokBall, full HP)",60, 1 Special Defense, Amorphous ,"26 (minimum 6,630 steps)","50% male, 50% female",Fast,60,2′4″ (0.71m),Muma,"214 (Gold,Silver,Crystal)072 (Diamond,Pearl)072 (Platinum)219 (HeartGold,SoulSilver)",200,85,85,Screech Pokmon,85, Ghost ,2.2 lbs (1.0 kg), Misdreavus is a Ghost type Pokmon introduced in Generation 2. It is known as the Screech Pokmon. ,Misdreavus
200,Levitate,72,61,70 (normal),"225 (29.4% with PokBall, full HP)",48," 1 Attack, 1 Special Attack", Undiscovered ,"41 (minimum 10,455 steps)",Genderless,Medium Fast,48,1′8″ (0.51m),Annon,"061 (Gold,Silver,Crystal)114 (Diamond,Pearl)114 (Platinum)061 (HeartGold,SoulSilver)",201,72,48,Symbol Pokmon,48, Psychic ,11 lbs (5.0 kg), Unown is a Psychic type Pokmon introduced in Generation 2. It is known as the Symbol Pokmon. ,Unown
201,Shadow TagTelepathy (hidden ability),33,177,70 (normal),"45 (5.9% with PokBall, full HP)",58, 2 HP, Amorphous ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,190,4′3″ (1.30m),Sonansu,"107 (Gold,Silver,Crystal)161 (Ruby,Sapphire,Emerald)108 (HeartGold,SoulSilver)119 (X,Y)168 (Omega Ruby,Alpha Sapphire)",202,33,58,Patient Pokmon,33, Psychic ,62.8 lbs (28.5 kg), Wobbuffet is a Psychic type Pokmon introduced in Generation 2. It is known as the Patient Pokmon. ,Wobbuffet
202,Early BirdInner FocusSap Sipper (hidden ability),80,149,70 (normal),"60 (7.8% with PokBall, full HP)",65, 2 Special Attack, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,70,4′11″ (1.50m),Kirinriki,"147 (Gold,Silver,Crystal)164 (Ruby,Sapphire,Emerald)121 (Diamond,Pearl)121 (Platinum)149 (HeartGold,SoulSilver)171 (Omega Ruby,Alpha Sapphire)",203,90,65,Long Neck Pokmon,85, Normal Psychic ,91.5 lbs (41.5 kg), Girafarig is a Normal/Psychic type Pokmon introduced in Generation 2. It is known as the Long Neck Pokmon. ,Girafarig
203,SturdyOvercoat (hidden ability),65,60,70 (normal),"190 (24.8% with PokBall, full HP)",90, 1 Defense, Bug ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,50,2′0″ (0.61m),Kunugidama,"093 (Gold,Silver,Crystal)093 (HeartGold,SoulSilver)",204,35,35,Bagworm Pokmon,15, Bug ,15.9 lbs (7.2 kg), Pineco is a Bug type Pokmon introduced in Generation 2. It is known as the Bagworm Pokmon. ,Pineco
204,SturdyOvercoat (hidden ability),90,118,70 (normal),"75 (9.8% with PokBall, full HP)",140, 2 Defense, Bug ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,75,3′11″ (1.19m),Foretosu,"094 (Gold,Silver,Crystal)094 (HeartGold,SoulSilver)",205,60,60,Bagworm Pokmon,40, Bug Steel ,277.3 lbs (125.8 kg), Forretress is a Bug/Steel type Pokmon introduced in Generation 2. It is known as the Bagworm Pokmon. ,Forretress
205,Run AwaySerene GraceRattled (hidden ability),70,125,70 (normal),"190 (24.8% with PokBall, full HP)",70, 1 HP, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,100,4′11″ (1.50m),Nokotchi,"052 (Gold,Silver,Crystal)052 (HeartGold,SoulSilver)035 (Black 2,White 2)040 (X,Y)",206,65,65,Land Snake Pokmon,45, Normal ,30.9 lbs (14.0 kg), Dunsparce is a Normal type Pokmon introduced in Generation 2. It is known as the Land Snake Pokmon. ,Dunsparce
206,Hyper CutterSand VeilImmunity (hidden ability),75,108,70 (normal),"60 (7.8% with PokBall, full HP)",105, 1 Defense, Bug ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,65,3′7″ (1.09m),Guraiga,"189 (Gold,Silver,Crystal)153 (Platinum)193 (HeartGold,SoulSilver)221 (Black 2,White 2)115 (X,Y)",207,35,65,FlyScorpion Pokmon,85, Ground Flying ,142.9 lbs (64.8 kg), Gligar is a Ground/Flying type Pokmon introduced in Generation 2. It is known as the FlyScorpion Pokmon. ,Gligar
207,Rock HeadSturdySheer Force (hidden ability),85,196,70 (normal),"25 (3.3% with PokBall, full HP)",200, 2 Defense, Mineral ,"26 (minimum 6,630 steps)","50% male, 50% female",Medium Fast,75,30′2″ (9.19m),Haganeru,"063 (Gold,Silver,Crystal)035 (Diamond,Pearl)035 (Platinum)063 (HeartGold,SoulSilver)072 (Black 2,White 2)054 (X,Y)",208,55,65,Iron Snake Pokmon,30, Steel Ground ,881.8 lbs (400.0 kg)," Steelix is a Steel/Ground type Pokmon introduced in Generation 2. It is known as the Iron Snake Pokmon. Steelix has a Mega Evolution, available from Omega Ruby & Alpha Sapphire onwards. ",Steelix
208,IntimidateRun AwayRattled (hidden ability),80,63,70 (normal),"190 (24.8% with PokBall, full HP)",50, 1 Attack," Fairy, Field ","21 (minimum 5,355 steps)","25% male, 75% female",Fast,60,2′0″ (0.61m),Buru,"123 (Gold,Silver,Crystal)125 (HeartGold,SoulSilver)071 (X,Y)",209,40,40,Fairy Pokmon,30, Fairy ,17.2 lbs (7.8 kg)," Snubbull is a Fairy type Pokmon introduced in Generation 2. It is known as the Fairy Pokmon. Prior to Generation 6, Snubbull was a Normal type. ",Snubbull
209,IntimidateQuick FeetRattled (hidden ability),120,178,70 (normal),"75 (9.8% with PokBall, full HP)",75, 2 Attack," Fairy, Field ","21 (minimum 5,355 steps)","25% male, 75% female",Fast,90,4′7″ (1.40m),Guranburu,"124 (Gold,Silver,Crystal)126 (HeartGold,SoulSilver)072 (X,Y)",210,60,60,Fairy Pokmon,45, Fairy ,107.4 lbs (48.7 kg)," Granbull is a Fairy type Pokmon introduced in Generation 2. It is known as the Fairy Pokmon. Prior to Generation 6, Granbull was a Normal type. ",Granbull
210,Poison PointSwift SwimIntimidate (hidden ability),95,100,70 (normal),"45 (5.9% with PokBall, full HP)",75, 1 Attack, Water 2 ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,65,1′8″ (0.51m),Harisen,"161 (Gold,Silver,Crystal)163 (HeartGold,SoulSilver)038 (X,Y)",211,55,55,Balloon Pokmon,85, Water Poison ,8.6 lbs (3.9 kg), Qwilfish is a Water/Poison type Pokmon introduced in Generation 2. It is known as the Balloon Pokmon. ,Qwilfish
211,SwarmTechnicianLight Metal (hidden ability),130,200,70 (normal),"25 (3.3% with PokBall, full HP)",100, 2 Attack, Bug ,"26 (minimum 6,630 steps)","50% male, 50% female",Medium Fast,70,5′11″ (1.80m),Hassamu,"111 (Gold,Silver,Crystal)196 (Platinum)112 (HeartGold,SoulSilver)137 (X,Y)",212,55,80,Pincer Pokmon,65, Bug Steel ,260.1 lbs (118.0 kg)," Scizor is a Bug/Steel type Pokmon introduced in Generation 2. It is known as the Pincer Pokmon. Scizor is a red, metal, ant-like Pokemon with yellow and black patterns on its pincers which resemble an eye pattern. Its body consists of three main parts: the torso, the abdomen and the head. It stands on two legs and has a pair of small wings located on its back which are used to control its body temperature, rather than flying. Scizor's habitat is lush and vast where it can reside with the rest of the swarm. Scizor evolves from the Bug/Flying type Scyther, thus losing its Flying type upon evolution - a rare occurrence for Pokmon. Scizor has a Mega Evolution, available from X & Y onwards. ",Scizor
212,GluttonySturdyContrary (hidden ability),10,80,70 (normal),"190 (24.8% with PokBall, full HP)",230," 1 Defense, 1 Special Defense", Bug ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,20,2′0″ (0.61m),Tsubotsubo,"166 (Gold,Silver,Crystal)168 (HeartGold,SoulSilver)232 (Black 2,White 2)014 (X,Y)",213,10,230,Mold Pokmon,5, Bug Rock ,45.2 lbs (20.5 kg), Shuckle is a Bug/Rock type Pokmon introduced in Generation 2. It is known as the Mold Pokmon. ,Shuckle
213,GutsSwarmMoxie (hidden ability),125,200,70 (normal),"45 (5.9% with PokBall, full HP)",75, 2 Attack, Bug ,"26 (minimum 6,630 steps)","50% male, 50% female",Slow,80,4′11″ (1.50m),Herakurosu,"113 (Gold,Silver,Crystal)168 (Ruby,Sapphire,Emerald)062 (Diamond,Pearl)062 (Platinum)114 (HeartGold,SoulSilver)145 (Black 2,White 2)131 (X,Y)175 (Omega Ruby,Alpha Sapphire)",214,40,95,Single Horn Pokmon,85, Bug Fighting ,119 lbs (54.0 kg)," Heracross is a Bug/Fighting type Pokmon introduced in Generation 2. It is known as the Single Horn Pokmon. Heracross has a Mega Evolution, available from X & Y onwards. ",Heracross
214,Inner FocusKeen EyePickpocket (hidden ability),95,132,35 (lower than normal),"60 (7.8% with PokBall, full HP)",55, 1 Speed, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,55,2′11″ (0.89m),Nyura,"213 (Gold,Silver,Crystal)144 (Diamond,Pearl)144 (Platinum)218 (HeartGold,SoulSilver)252 (Black 2,White 2)091 (X,Y)",215,35,75,Sharp Claw Pokmon,115, Dark Ice ,61.7 lbs (28.0 kg), Sneasel is a Dark/Ice type Pokmon introduced in Generation 2. It is known as the Sharp Claw Pokmon. ,Sneasel
215,PickupQuick FeetHoney Gather (hidden ability),80,124,70 (normal),"120 (15.7% with PokBall, full HP)",50, 1 Attack, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,60,2′0″ (0.61m),Himeguma,"193 (Gold,Silver,Crystal)198 (HeartGold,SoulSilver)132 (X,Y)",216,50,50,Little Bear Pokmon,40, Normal ,19.4 lbs (8.8 kg), Teddiursa is a Normal type Pokmon introduced in Generation 2. It is known as the Little Bear Pokmon. ,Teddiursa
216,GutsQuick FeetUnnerve (hidden ability),130,189,70 (normal),"60 (7.8% with PokBall, full HP)",75, 2 Attack, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,90,5′11″ (1.80m),Ringuma,"194 (Gold,Silver,Crystal)199 (HeartGold,SoulSilver)133 (X,Y)",217,75,75,Hibernator Pokmon,55, Normal ,277.3 lbs (125.8 kg), Ursaring is a Normal type Pokmon introduced in Generation 2. It is known as the Hibernator Pokmon. ,Ursaring
217,Flame BodyMagma ArmorWeak Armor (hidden ability),40,78,70 (normal),"190 (24.8% with PokBall, full HP)",40, 1 Special Attack, Amorphous ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,40,2′4″ (0.71m),Magumaggu,"211 (Gold,Silver,Crystal)103 (Ruby,Sapphire,Emerald)216 (HeartGold,SoulSilver)012 (X,Y)108 (Omega Ruby,Alpha Sapphire)",218,70,40,Lava Pokmon,20, Fire ,77.2 lbs (35.0 kg), Slugma is a Fire type Pokmon introduced in Generation 2. It is known as the Lava Pokmon. ,Slugma
218,Flame BodyMagma ArmorWeak Armor (hidden ability),50,154,70 (normal),"75 (9.8% with PokBall, full HP)",120, 2 Defense, Amorphous ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,50,2′7″ (0.79m),Magukarugo,"212 (Gold,Silver,Crystal)104 (Ruby,Sapphire,Emerald)217 (HeartGold,SoulSilver)013 (X,Y)109 (Omega Ruby,Alpha Sapphire)",219,80,80,Lava Pokmon,30, Fire Rock ,121.3 lbs (55.0 kg), Magcargo is a Fire/Rock type Pokmon introduced in Generation 2. It is known as the Lava Pokmon. ,Magcargo
219,ObliviousSnow CloakThick Fat (hidden ability),50,78,70 (normal),"225 (29.4% with PokBall, full HP)",40, 1 Attack, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Slow,50,1′4″ (0.41m),Urimu,"191 (Gold,Silver,Crystal)203 (Platinum)195 (HeartGold,SoulSilver)258 (Black 2,White 2)076 (X,Y)",220,30,30,Pig Pokmon,50, Ice Ground ,14.3 lbs (6.5 kg), Swinub is an Ice/Ground type Pokmon introduced in Generation 2. It is known as the Pig Pokmon. ,Swinub
220,ObliviousSnow CloakThick Fat (hidden ability),100,160,70 (normal),"75 (9.8% with PokBall, full HP)",80," 1 HP, 1 Attack", Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Slow,100,3′7″ (1.09m),Inomu,"192 (Gold,Silver,Crystal)204 (Platinum)196 (HeartGold,SoulSilver)259 (Black 2,White 2)077 (X,Y)",221,60,60,Swine Pokmon,50, Ice Ground ,123 lbs (55.8 kg), Piloswine is an Ice/Ground type Pokmon introduced in Generation 2. It is known as the Swine Pokmon. ,Piloswine
221,HustleNatural CureRegenerator (hidden ability),55,113,70 (normal),"60 (7.8% with PokBall, full HP)",85," 1 Defense, 1 Special Defense"," Water 1, Water 3 ","21 (minimum 5,355 steps)","25% male, 75% female",Fast,55,2′0″ (0.61m),Sanigo,"171 (Gold,Silver,Crystal)180 (Ruby,Sapphire,Emerald)173 (HeartGold,SoulSilver)237 (Black 2,White 2)146 (X,Y)189 (Omega Ruby,Alpha Sapphire)",222,65,85,Coral Pokmon,35, Water Rock ,11 lbs (5.0 kg), Corsola is a Water/Rock type Pokmon introduced in Generation 2. It is known as the Coral Pokmon. ,Corsola
222,HustleSniperMoody (hidden ability),65,78,70 (normal),"190 (24.8% with PokBall, full HP)",35, 1 Special Attack," Water 1, Water 2 ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,35,2′0″ (0.61m),Teppouo,"172 (Gold,Silver,Crystal)132 (Diamond,Pearl)132 (Platinum)174 (HeartGold,SoulSilver)235 (Black 2,White 2)144 (X,Y)",223,65,35,Jet Pokmon,65, Water ,26.5 lbs (12.0 kg), Remoraid is a Water type Pokmon introduced in Generation 2. It is known as the Jet Pokmon. ,Remoraid
223,SniperSuction CupsMoody (hidden ability),105,164,70 (normal),"75 (9.8% with PokBall, full HP)",75," 1 Attack, 1 Special Attack"," Water 1, Water 2 ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,75,2′11″ (0.89m),Okutan,"173 (Gold,Silver,Crystal)133 (Diamond,Pearl)133 (Platinum)175 (HeartGold,SoulSilver)236 (Black 2,White 2)145 (X,Y)",224,105,75,Jet Pokmon,45, Water ,62.8 lbs (28.5 kg), Octillery is a Water type Pokmon introduced in Generation 2. It is known as the Jet Pokmon. ,Octillery
